,APC,AXIN1,BIRC5,CCNA1,CCNA2,CCND2,CCND3,CCNE1,CCNE2,CD44,DKK1,DKK4,ICAM1,JUNB,MMP2,MMP7,MMP9,MYC,NANOG,PARP1,RYK,SFRP4,VEGFA,WNT2,CDC45,CDC6,CDC7,CK2,DLL1,DLL3,JAG1,BMP2,BMPR1A,BMPR1B,LEF1,RUNX1,RUNX1T1,RUNX2,SNAIL1,TCF4,TCF7, TLE1,TLE2,TLE3,TLE4,CCND1,CCNB1,CCNB2,FOXM1,CXCR4
APC,1.0,0.36019288340987154,-0.06477916003561304,-0.34042482939088076,-0.4748690828960901,-0.2515024122102304,-0.1891993851806967,-0.562080735668696,-0.07532360254250792,0.14942305185594648,0.035836125476160656,-0.4979968606053219,0.746955276972349,-0.0791631947416763,0.2805726847741911,-0.05415549068340433,0.23006768806398759,-0.11211808358808038,0.5568464993750383,0.20034991809212635,-0.23892945539988233,0.4786073423616154,-0.3140430929990281,-0.23433637156572473,-0.05130006599127562,-0.019569757200613158,-0.24645942629428477,0.4234792392007595,-0.17136792201531836,-0.12224453498796457,0.4907823722969954,-0.3755075156490778,-0.04606118259996228,-0.2660396110400555,-0.44798864019238804,-0.3077056552891286,-0.017005196559024636,0.05136725984206097,-0.052107627032370867,-0.20097259571300163,0.14829785338677617,-0.0870115921626782,0.11805029703976855,-0.1726509461372559,-0.2963747909205894,-0.1379399889104581,-0.4639179175873506,-0.25706322703005224,-0.0848235894896402,0.10706287967647075
AXIN1,0.36019288340987154,1.0,-0.00549399472514722,-0.15154662365708957,-0.36146787956496607,0.019500502275053868,0.5308061972892861,-0.032057057705799676,-0.13635588377114316,0.3659947267123297,0.04437717781594561,-0.07508147796346591,0.41934901501420097,0.12024624804211129,0.2156198365033039,0.015621821887752373,0.18378304462993678,0.16833833258990172,0.21147262931836816,-0.05772491915879612,0.09958704887653204,0.054783873227086596,0.12467910623104779,-0.023276315913423766,0.01862372103225965,-0.002984488000560572,-0.08909011247737696,0.44847503030318125,-0.0885090900898519,0.03171763294539967,0.326411897184799,-0.25969685220964456,-0.2541299313370078,-0.09924330009089954,-0.080818533147937,-0.08475055317482569,-0.07538678979808582,0.12439219071588258,0.3840636385407896,-0.07305738608808669,0.0830900811829595,-0.15084069139518352,-0.02937036107201884,0.19061087044538147,-0.1263417835517285,-0.3316819800473628,-0.23976517245039045,-0.016739562942427438,-0.08162894005231429,0.5935527743588712
BIRC5,-0.06477916003561304,-0.00549399472514722,1.0,0.08673019592237309,0.5070542815666929,0.24241303520244328,-0.29191930379103026,-0.33144132423628975,0.4804326555102806,0.16416424603946037,-0.33432799174380523,-0.1694947490471693,-0.07834582062145622,-0.25398996977890187,0.2347043285648045,0.31410582392191244,0.4861974997776828,0.17991891188655762,0.18658494547068535,0.683526430511759,0.14106934921792622,0.19691827162072034,-0.43255857948013726,0.23740194529315384,0.44795910062955274,0.4830274788523632,-0.2911584292208769,0.04576569558877213,-0.23931542112192372,0.0956052110825877,0.1425060557922379,-0.47918959481406453,-0.41239266089795046,-0.4174253325654948,-0.4193335455067772,-0.37294747787490345,0.1538625784348276,-0.20126831445919816,-0.1118138781086019,-0.34722072501965834,-0.11270169109223474,-0.1213714679971618,-0.11880829097202508,-0.2333673150116201,-0.4043312500459396,0.06626405202035626,0.3383490781288257,0.6501852814858851,0.47826038591507514,-0.1375009036920055
CCNA1,-0.34042482939088076,-0.15154662365708957,0.08673019592237309,1.0,0.20919643193420143,-0.01104184671245472,0.01659404218395672,0.14190437478828724,0.3606366504010836,0.21610523038985785,-0.29210442763303124,-0.008920218804332785,-0.18212324854832468,0.05630650897621535,0.14332084202543297,0.2376891112395149,-0.060191132458517434,-0.03291262752208252,-0.28990240756879204,0.007904743905990243,0.2734946077254501,0.09775335381556946,-0.024519027415903734,0.26786964540305114,0.3413597795951585,0.16326635372831105,0.09529493954089933,0.059903443909989446,0.2714241330732661,0.0722765604486976,0.013147575340653337,0.3630984321899406,-0.019701138150709376,0.07096868032363789,-0.17742188366816855,0.12231884878277993,0.06970791602552016,-0.05466603536335997,-0.06341312298988,0.14369715934687824,0.018909884979487986,-0.00658186123146442,0.01729553867891313,0.09223670903810653,0.07683059529403809,-0.3280248230331333,0.07641876155918594,0.0881288977928874,0.4553143415665225,-0.010169447564055724
CCNA2,-0.4748690828960901,-0.36146787956496607,0.5070542815666929,0.20919643193420143,1.0,0.39688446532173377,-0.13052613434318774,0.31669750618885273,0.6582593855939525,-0.17430803747969714,-0.1352634489898579,-0.18334798042855205,-0.4177687195172305,-0.28554820963541455,-0.15101001173675271,-0.18966642873046324,0.3152672006048247,0.39786131744615544,-0.303635671274238,0.22715286567359325,0.4924281643008121,-0.43589083170388315,-0.10764513693469502,0.1816238260268168,0.2537305219687406,0.3292327231806502,-0.09134731349340876,-0.22280453426228866,-0.09392577653551193,0.2812350630664209,-0.2504694455541926,-0.11827711476900574,-0.14318333109908457,-0.16206270192400613,0.004746814037900297,-0.12276431462966744,-0.16770426982665723,-0.272942934789282,-0.10854102301346491,-0.18100405529869465,-0.20109768390154772,-0.23030523745162185,-0.2001907874321815,-0.0443777575144313,-0.12705279292809488,0.515319045109689,0.7192861558658541,0.5226633965628769,0.3166992061894093,-0.4335498843311703
CCND2,-0.2515024122102304,0.019500502275053868,0.24241303520244328,-0.01104184671245472,0.39688446532173377,1.0,0.2982478659354125,0.3421030257293546,0.23920110604027564,0.07351063271031817,-0.14082894755625816,0.16256489450660158,-0.20830737837343516,-0.38272566951223574,0.028548614216095985,-0.11647048863529542,0.21652973537101414,0.12720082967776253,-0.13970407491071662,0.10918741418852469,0.43791270642023167,-0.13491832339706666,0.05930962468862551,0.04745599535180878,0.0938887556804741,0.14693322453914315,-0.24056432114831583,0.02440725300971968,-0.25027373637818406,0.26553454876001675,-0.11710566175678257,-0.38266720951131306,-0.14417638808988573,-0.26173545219544714,0.17413149800225333,-0.24095995608236237,0.050873043439200336,0.04444709791995509,0.1883273027621742,-0.22621947569762502,-0.20932437564678347,0.08999363011412083,-0.29134522286565157,0.20593563110451135,-0.27815130366794666,0.3000741489168635,0.22377276293470277,-0.003671037088258063,0.01910886399894799,-0.012549130194426942
CCND3,-0.1891993851806967,0.5308061972892861,-0.29191930379103026,0.01659404218395672,-0.13052613434318774,0.2982478659354125,1.0,0.5497772151812517,-0.164099095978491,0.19017639530583005,0.16214625417673856,0.461712823424924,0.027122967791646288,-0.006825747472900223,-0.08487150379081435,-0.23198168567346023,-0.07697189715209908,-0.08206594956623321,-0.155769223661492,-0.36653158714247003,0.1196194094933577,-0.2765567400889539,0.45799365959092586,0.01810100700591581,-0.2553653948728845,-0.337984768270749,0.08147094241774304,-0.02414480952916693,0.018058012379065444,-0.02296623146515099,-0.16457236417817722,0.018274215232654406,-0.022820353938098684,0.25915572453926145,0.5641999212556134,0.23377603018261645,-0.157063663076411,0.2100941715748756,0.1340695216059424,0.1972300710167931,-0.0836833299463889,0.0036128262700933383,-0.07192606862774652,0.6247123478708513,0.22272871043006756,-0.12377281754330757,0.02345255603905401,-0.13873938819971465,-0.08746265054049956,0.35250433634173756
CCNE1,-0.562080735668696,-0.032057057705799676,-0.33144132423628975,0.14190437478828724,0.31669750618885273,0.3421030257293546,0.5497772151812517,1.0,0.013077692226597964,0.11867761344936441,0.13847736145022008,0.16715289724916774,-0.29029873380521515,0.23067784694773064,-0.21592200134907596,-0.20683286764718345,-0.08218701750335745,0.28627701855310267,-0.6688870927857647,-0.4044342203495751,0.5579676866315573,-0.5393176627149185,0.7971553398505606,0.082908222726539,-0.3046606349813962,-0.3622992993661752,0.4618362316276735,-0.14543328118878382,0.4336573788056806,0.23587749172446726,-0.309423027436357,0.5532607946088276,0.3250173234761525,0.5974176476112366,0.6091958021217493,0.5694282402307771,-0.21301917196912776,0.1880400296537835,0.04766440361090427,0.5128880555703389,0.10035087425050229,-0.10159131815707019,0.08697751503764851,0.5949456650741616,0.5806009795105166,0.18571196031605555,0.32450831519113776,-0.03268324453486566,-0.08445542763074677,-0.01605187463161538
CCNE2,-0.07532360254250792,-0.13635588377114316,0.4804326555102806,0.3606366504010836,0.6582593855939525,0.23920110604027564,-0.164099095978491,0.013077692226597964,1.0,-0.031076463408711927,-0.29464105770719357,-0.38231570930277226,-0.14339777545100754,-0.36603229746858273,-0.013836767627640821,-0.017904781536419126,0.4603311977395275,0.341580109214707,-0.22078589088768738,0.41915129094702847,0.3540785105408206,-0.0721521417303496,-0.4131082137388191,0.08270704567263462,0.36964228271172433,0.5239661641076084,-0.23172463624460085,0.012816199666187444,-0.14003908303012896,0.028999268057379075,0.055822046247781316,-0.4517341309023094,-0.1483766922985014,-0.3508556164081372,-0.3487548382965772,-0.29415864323282165,-0.07773168492152091,-0.3622335437885066,-0.23844736923095172,-0.2868134215265982,-0.24867303953886669,-0.08871423534347164,-0.2462306696577956,-0.12270522208708615,-0.32617956826770617,0.40095074037536654,0.2084600052292676,0.27231652155716407,0.20541033606286327,-0.3626031034005259
CD44,0.14942305185594648,0.3659947267123297,0.16416424603946037,0.21610523038985785,-0.17430803747969714,0.07351063271031817,0.19017639530583005,0.11867761344936441,-0.031076463408711927,1.0,-0.33420274891794144,-0.20072181067397568,0.314587042735931,0.07200124624916622,0.8001755822753566,0.5618384620509154,0.40648196546531845,0.024322725486792655,-0.19405360603920313,0.2188911902389952,0.3895419924948202,0.4283183853624703,0.21621987135448628,0.051861789326981336,0.06893161580345883,-0.05826981053335504,0.04934079760276457,0.45829185417269586,0.28424491670187674,0.27321112150901083,0.5223639051055148,0.04509552153754966,-0.02024190358907564,0.182679758470117,-0.24961555661907472,0.08552104878219532,0.13853899457980115,0.24978436909892623,-0.13836253275529825,0.2555439533288344,0.42610563252745876,-0.22930349683826937,0.5932463539103642,0.2645588268334458,0.08188275496872864,-0.3469682167909118,-0.09054925741974475,0.09129584123600774,0.3382632759593214,-0.06276099337230104
